PROVCN,PROVEN,DISTRICTCN,DISTRICTEN,NAMECN,NAMEEN,AREAID
辽宁,liaoning,朝阳,zhaoyang,喀左,kazuo,101071204
辽宁,liaoning,朝阳,zhaoyang,北票,beipiao,101071205
辽宁,liaoning,朝阳,zhaoyang,建平县,jianpingxian,101071207
辽宁,liaoning,盘锦,panjin,盘锦,panjin,101071301
辽宁,liaoning,盘锦,panjin,大洼,dawa,101071302
辽宁,liaoning,盘锦,panjin,盘山,panshan,101071303
辽宁,liaoning,葫芦岛,huludao,葫芦岛,huludao,101071401
辽宁,liaoning,葫芦岛,huludao,建昌,jianchang,101071402
辽宁,liaoning,葫芦岛,huludao,绥中,suizhong,101071403
辽宁,liaoning,葫芦岛,huludao,兴城,xingcheng,101071404
内蒙古,neimenggu,呼和浩特,huhehaote,呼和浩特,huhehaote,101080101
内蒙古,neimenggu,呼和浩特,huhehaote,土左旗,tuzuoqi,101080102
内蒙古,neimenggu,呼和浩特,huhehaote,托县,tuoxian,101080103
内蒙古,neimenggu,呼和浩特,huhehaote,和林,helin,101080104
内蒙古,neimenggu,呼和浩特,huhehaote,清水河,qingshuihe,101080105
内蒙古,neimenggu,呼和浩特,huhehaote,呼市郊区,hushijiaoqu,101080106
内蒙古,neimenggu,呼和浩特,huhehaote,武川,wuchuan,101080107
内蒙古,neimenggu,包头,baotou,包头,baotou,101080201
内蒙古,neimenggu,包头,baotou,白云鄂博,baiyunebo,101080202
内蒙古,neimenggu,包头,baotou,满都拉,mandula,101080203
内蒙古,neimenggu,包头,baotou,土右旗,tuyouqi,101080204
内蒙古,neimenggu,包头,baotou,固阳,guyang,101080205
内蒙古,neimenggu,包头,baotou,达茂旗,damaoqi,101080206
内蒙古,neimenggu,包头,wulanchabu,希拉穆仁,xilamuren,101080207
内蒙古,neimenggu,乌海,wuhai,乌海,wuhai,101080301
内蒙古,neimenggu,乌兰察布,wulanchabu,集宁,jining,101080401
内蒙古,neimenggu,乌兰察布,wulanchabu,卓资,zhuozi,101080402
内蒙古,neimenggu,乌兰察布,wulanchabu,化德,huade,101080403
内蒙古,neimenggu,乌兰察布,wulanchabu,商都,shangdu,101080404
内蒙古,neimenggu,乌兰察布,wulanchabu,兴和,xinghe,101080406
内蒙古,neimenggu,乌兰察布,wulanchabu,凉城,liangcheng,101080407
内蒙古,neimenggu,乌兰察布,wulanchabu,察右前旗,chayouqianqi,101080408
内蒙古,neimenggu,乌兰察布,wulanchabu,察右中旗,chayouzhongqi,101080409
内蒙古,neimenggu,乌兰察布,wulanchabu,察右后旗,chayouhouqi,101080410
内蒙古,neimenggu,乌兰察布,wulanchabu,四子王旗,siziwangqi,101080411
内蒙古,neimenggu,乌兰察布,wulanchabu,丰镇,fengzhen,101080412
内蒙古,neimenggu,通辽,tongliao,通辽,tongliao,101080501
内蒙古,neimenggu,通辽,tongliao,舍伯吐,shebotu,101080502
内蒙古,neimenggu,通辽,tongliao,科左中旗,kezuozhongqi,101080503
内蒙古,neimenggu,通辽,tongliao,科左后旗,kezuohouqi,101080504
内蒙古,neimenggu,通辽,tongliao,青龙山,qinglongshan,101080505
内蒙古,neimenggu,通辽,tongliao,开鲁,kailu,101080506
内蒙古,neimenggu,通辽,tongliao,库伦,kulun,101080507
内蒙古,neimenggu,通辽,tongliao,奈曼,naiman,101080508
内蒙古,neimenggu,通辽,tongliao,扎鲁特,zhalute,101080509
内蒙古,neimenggu,兴安盟,xinganmeng,高力板,gaoliban,101080510
内蒙古,neimenggu,通辽,tongliao,巴雅尔吐胡硕,bayaertuhushuo,101080511
内蒙古,neimenggu,赤峰,chifeng,赤峰,chifeng,101080601
内蒙古,neimenggu,赤峰,chifeng,阿鲁旗,aluqi,101080603
内蒙古,neimenggu,赤峰,chifeng,浩尔吐,haoertu,101080604
内蒙古,neimenggu,赤峰,chifeng,巴林左旗,balinzuoqi,101080605
内蒙古,neimenggu,赤峰,chifeng,巴林右旗,balinyouqi,101080606
内蒙古,neimenggu,赤峰,chifeng,林西,linxi,101080607
内蒙古,neimenggu,赤峰,chifeng,克什克腾,keshiketeng,101080608
内蒙古,neimenggu,赤峰,chifeng,翁牛特,wengniute,101080609
内蒙古,neimenggu,赤峰,chifeng,岗子,gangzi,101080610
内蒙古,neimenggu,赤峰,chifeng,喀喇沁,kalaqin,101080611
内蒙古,neimenggu,赤峰,chifeng,八里罕,balihan,101080612
内蒙古,neimenggu,赤峰,chifeng,宁城,ningcheng,101080613
内蒙古,neimenggu,赤峰,chifeng,敖汉,aohan,101080614
内蒙古,neimenggu,赤峰,chifeng,宝国吐,baoguotu,101080615
内蒙古,neimenggu,鄂尔多斯,eerduosi,鄂尔多斯,eerduosi,101080701
内蒙古,neimenggu,鄂尔多斯,eerduosi,达拉特,dalate,101080703
内蒙古,neimenggu,鄂尔多斯,eerduosi,准格尔,zhungeer,101080704
内蒙古,neimenggu,鄂尔多斯,eerduosi,鄂前旗,eqianqi,101080705
内蒙古,neimenggu,鄂尔多斯,eerduosi,河南,henan,101080706
内蒙古,neimenggu,鄂尔多斯,eerduosi,伊克乌素,yikewusu,101080707
内蒙古,neimenggu,鄂尔多斯,eerduosi,鄂托克,etuoke,101080708
内蒙古,neimenggu,鄂尔多斯,eerduosi,杭锦旗,hangjinqi,101080709
内蒙古,neimenggu,鄂尔多斯,eerduosi,乌审旗,wushenqi,101080710
内蒙古,neimenggu,鄂尔多斯,eerduosi,伊金霍洛,yijinhuoluo,101080711
内蒙古,neimenggu,鄂尔多斯,eerduosi,乌审召,wushenzhao,101080712
内蒙古,neimenggu,鄂尔多斯,eerduosi,东胜,dongsheng,101080713
内蒙古,neimenggu,巴彦淖尔,bayannaoer,临河,linhe,101080801
内蒙古,neimenggu,巴彦淖尔,bayannaoer,五原,wuyuan,101080802
内蒙古,neimenggu,巴彦淖尔,bayannaoer,磴口,dengkou,101080803
内蒙古,neimenggu,巴彦淖尔,bayannaoer,乌前旗,wuqianqi,101080804
内蒙古,neimenggu,巴彦淖尔,bayannaoer,大佘太,dashetai,101080805
内蒙古,neimenggu,巴彦淖尔,bayannaoer,乌中旗,wuzhongqi,101080806
内蒙古,neimenggu,巴彦淖尔,bayannaoer,乌后旗,wuhouqi,101080807
内蒙古,neimenggu,巴彦淖尔,bayannaoer,海力素,hailisu,101080808
内蒙古,neimenggu,巴彦淖尔,bayannaoer,那仁宝力格,narenbaolige,101080809
内蒙古,neimenggu,巴彦淖尔,bayannaoer,杭锦后旗,hangjinhouqi,101080810
内蒙古,neimenggu,锡林郭勒,xilinguole,锡林浩特,xilinhaote,101080901
内蒙古,neimenggu,锡林郭勒,xilinguole,二连浩特,erlianhaote,101080903
内蒙古,neimenggu,锡林郭勒,xilinguole,阿巴嘎,abaga,101080904
内蒙古,neimenggu,锡林郭勒,xilinguole,苏左旗,suzuoqi,101080906
内蒙古,neimenggu,锡林郭勒,xilinguole,苏右旗,suyouqi,101080907
